Metric,Value
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.6621277047392868
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.7804690448162631
timing__hold__ws__corner:max_tt_025C_1v80,0.32009928946834637
timing__setup__ws__corner:max_tt_025C_1v80,13.144614657675488
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.320099
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,19.037207
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,505
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,3896
design__max_fanout_violation__count__corner:max_ss_100C_1v60,1029
design__max_cap_violation__count__corner:max_ss_100C_1v60,956
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.9094534271975117
clock__skew__worst_setup__corner:max_ss_100C_1v60,1.0694800903144253
timing__hold__ws__corner:max_ss_100C_1v60,-0.47573724084479535
timing__setup__ws__corner:max_ss_100C_1v60,7.9378657005357605
timing__hold__tns__corner:max_ss_100C_1v60,-49.32087944320981
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,-0.47573724084479535
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,254
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.911562
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,13.796348
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,505
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,98
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,1029
design__max_cap_violation__count__corner:max_ff_n40C_1v95,939
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.5413711854262352
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.6363902918099178
timing__hold__ws__corner:max_ff_n40C_1v95,0.11086554210693024
timing__setup__ws__corner:max_ff_n40C_1v95,15.29077707731338
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.110866
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,21.029757
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,505
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,505
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79975
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.8
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000248245
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000273454
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.00000237973
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000273454
design_powergrid__voltage__worst,0.000273454
design_powergrid__voltage__worst__net:VPWR,1.79975
design_powergrid__drop__worst,0.000273454
design_powergrid__drop__worst__net:VPWR,0.000248245
design_powergrid__voltage__worst__net:VGND,0.000273454
design_powergrid__drop__worst__net:VGND,0.000273454
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00000230999999999999990605605015847601180212222971022129058837890625
ir__drop__worst,0.0002480000000000000108003883614316009698086418211460113525390625
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
