Metric,Value
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,273
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79957
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79999
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000425195
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000406344
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.00000595595
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000406344
design_powergrid__voltage__worst,0.000406344
design_powergrid__voltage__worst__net:VPWR,1.79957
design_powergrid__drop__worst,0.000425195
design_powergrid__drop__worst__net:VPWR,0.000425195
design_powergrid__voltage__worst__net:VGND,0.000406344
design_powergrid__drop__worst__net:VGND,0.000406344
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.0000057799999999999997172682626722650667261405033059418201446533203125
ir__drop__worst,0.0004249999999999999763210245529165831612772308290004730224609375
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
