Instance,Terminal,Layer,X location,Y location,Voltage
output52,VGND,li1,54.2800,38.0800,0.000036
output51,VGND,li1,54.2800,38.0800,0.000036
output50,VGND,li1,54.2800,43.5200,0.000025
output49,VGND,li1,54.2800,32.6400,0.000022
output48,VGND,li1,54.2800,10.8800,0.000078
output47,VGND,li1,43.2400,10.8800,0.000062
output46,VGND,li1,46.4600,10.8800,0.000070
output45,VGND,li1,40.0200,10.8800,0.000056
output44,VGND,li1,14.7200,48.9600,0.000013
output43,VGND,li1,54.2800,27.2000,0.000026
output42,VGND,li1,36.8000,10.8800,0.000049
output41,VGND,li1,54.2800,27.2000,0.000026
output40,VGND,li1,33.5800,10.8800,0.000043
output39,VGND,li1,43.2400,59.8400,0.000053
output38,VGND,li1,46.4600,59.8400,0.000054
output37,VGND,li1,36.8000,59.8400,0.000047
output36,VGND,li1,23.9200,59.8400,0.000027
output35,VGND,li1,30.3600,59.8400,0.000036
output34,VGND,li1,11.0400,48.9600,0.000015
output33,VGND,li1,11.5000,10.8800,0.000029
input32,VGND,li1,12.8800,48.9600,0.000014
input31,VGND,li1,13.8000,32.6400,0.000010
input30,VGND,li1,9.2000,59.8400,0.000032
input29,VGND,li1,14.2600,10.8800,0.000028
input28,VGND,li1,9.2000,54.4000,0.000013
input27,VGND,li1,12.4200,21.7600,0.000014
input26,VGND,li1,16.1000,48.9600,0.000013
input25,VGND,li1,54.5100,59.8400,0.000054
input24,VGND,li1,26.9100,10.8800,0.000030
input23,VGND,li1,9.6600,10.8800,0.000029
input22,VGND,li1,33.3500,59.8400,0.000042
input21,VGND,li1,14.0300,16.3200,0.000034
input20,VGND,li1,54.5100,48.9600,0.000010
input19,VGND,li1,17.7100,10.8800,0.000028
input18,VGND,li1,7.5900,38.0800,0.000016
input17,VGND,li1,9.4300,27.2000,0.000012
input16,VGND,li1,54.5100,54.4000,0.000018
input15,VGND,li1,23.6900,10.8800,0.000027
input14,VGND,li1,7.5900,54.4000,0.000013
input13,VGND,li1,7.5900,21.7600,0.000015
input12,VGND,li1,11.5000,43.5200,0.000012
input11,VGND,li1,54.5100,43.5200,0.000025
input10,VGND,li1,16.3300,10.8800,0.000028
input9,VGND,li1,14.2600,43.5200,0.000011
input8,VGND,li1,7.8200,27.2000,0.000013
input7,VGND,li1,49.4500,59.8400,0.000054
input6,VGND,li1,30.1300,10.8800,0.000038
input5,VGND,li1,39.7900,59.8400,0.000050
input4,VGND,li1,7.5900,27.2000,0.000013
input3,VGND,li1,52.6700,59.8400,0.000054
input2,VGND,li1,12.6500,16.3200,0.000034
input1,VGND,li1,12.8800,59.8400,0.000032
TAP_TAPCELL_ROW_17_65,VGND,li1,44.3900,59.5480,0.000053
TAP_TAPCELL_ROW_17_64,VGND,li1,31.5100,59.5480,0.000039
TAP_TAPCELL_ROW_17_63,VGND,li1,18.6300,59.5480,0.000031
TAP_TAPCELL_ROW_16_62,VGND,li1,44.3900,54.6910,0.000018
TAP_TAPCELL_ROW_16_61,VGND,li1,18.6300,54.6910,0.000012
TAP_TAPCELL_ROW_15_60,VGND,li1,31.5100,54.1080,0.000014
TAP_TAPCELL_ROW_14_59,VGND,li1,44.3900,49.2510,0.000009
TAP_TAPCELL_ROW_14_58,VGND,li1,18.6300,49.2510,0.000011
TAP_TAPCELL_ROW_13_57,VGND,li1,31.5100,48.6680,0.000008
TAP_TAPCELL_ROW_12_56,VGND,li1,44.3900,43.8110,0.000021
TAP_TAPCELL_ROW_12_55,VGND,li1,18.6300,43.8110,0.000011
TAP_TAPCELL_ROW_11_54,VGND,li1,31.5100,43.2280,0.000013
TAP_TAPCELL_ROW_10_53,VGND,li1,44.3900,38.3710,0.000030
TAP_TAPCELL_ROW_10_52,VGND,li1,18.6300,38.3710,0.000015
TAP_TAPCELL_ROW_9_51,VGND,li1,31.5100,37.7880,0.000018
TAP_TAPCELL_ROW_8_50,VGND,li1,44.3900,32.9310,0.000019
TAP_TAPCELL_ROW_8_49,VGND,li1,18.6300,32.9310,0.000009
TAP_TAPCELL_ROW_7_48,VGND,li1,31.5100,32.3480,0.000012
TAP_TAPCELL_ROW_6_47,VGND,li1,44.3900,27.4910,0.000022
TAP_TAPCELL_ROW_6_46,VGND,li1,18.6300,27.4910,0.000012
TAP_TAPCELL_ROW_5_45,VGND,li1,31.5100,26.9080,0.000014
TAP_TAPCELL_ROW_4_44,VGND,li1,44.3900,22.0510,0.000035
TAP_TAPCELL_ROW_4_43,VGND,li1,18.6300,22.0510,0.000014
TAP_TAPCELL_ROW_3_42,VGND,li1,31.5100,21.4680,0.000021
TAP_TAPCELL_ROW_2_41,VGND,li1,44.3900,16.6110,0.000073
TAP_TAPCELL_ROW_2_40,VGND,li1,18.6300,16.6110,0.000032
TAP_TAPCELL_ROW_1_39,VGND,li1,31.5100,16.0280,0.000045
TAP_TAPCELL_ROW_0_38,VGND,li1,44.3900,11.1710,0.000067
TAP_TAPCELL_ROW_0_37,VGND,li1,31.5100,11.1710,0.000038
TAP_TAPCELL_ROW_0_36,VGND,li1,18.6300,11.1710,0.000028
PHY_EDGE_ROW_17_Left_35,VGND,li1,6.2100,59.8400,0.000032
PHY_EDGE_ROW_16_Left_34,VGND,li1,6.2100,54.4000,0.000013
PHY_EDGE_ROW_15_Left_33,VGND,li1,6.2100,54.4000,0.000013
PHY_EDGE_ROW_14_Left_32,VGND,li1,6.2100,48.9600,0.000015
PHY_EDGE_ROW_13_Left_31,VGND,li1,6.2100,48.9600,0.000015
PHY_EDGE_ROW_12_Left_30,VGND,li1,6.2100,43.5200,0.000012
PHY_EDGE_ROW_11_Left_29,VGND,li1,6.2100,43.5200,0.000012
PHY_EDGE_ROW_10_Left_28,VGND,li1,6.2100,38.0800,0.000016
PHY_EDGE_ROW_9_Left_27,VGND,li1,6.2100,38.0800,0.000016
PHY_EDGE_ROW_8_Left_26,VGND,li1,6.2100,32.6400,0.000010
PHY_EDGE_ROW_7_Left_25,VGND,li1,6.2100,32.6400,0.000010
PHY_EDGE_ROW_6_Left_24,VGND,li1,6.2100,27.2000,0.000013
PHY_EDGE_ROW_5_Left_23,VGND,li1,6.2100,27.2000,0.000013
PHY_EDGE_ROW_4_Left_22,VGND,li1,6.2100,21.7600,0.000015
PHY_EDGE_ROW_3_Left_21,VGND,li1,6.2100,21.7600,0.000015
PHY_EDGE_ROW_2_Left_20,VGND,li1,6.2100,16.3200,0.000034
PHY_EDGE_ROW_1_Left_19,VGND,li1,6.2100,16.3200,0.000034
PHY_EDGE_ROW_0_Left_18,VGND,li1,6.2100,10.8800,0.000029
PHY_EDGE_ROW_17_Right_17,VGND,li1,55.8900,59.8400,0.000054
PHY_EDGE_ROW_16_Right_16,VGND,li1,55.8900,54.4000,0.000018
PHY_EDGE_ROW_15_Right_15,VGND,li1,55.8900,54.4000,0.000018
PHY_EDGE_ROW_14_Right_14,VGND,li1,55.8900,48.9600,0.000010
PHY_EDGE_ROW_13_Right_13,VGND,li1,55.8900,48.9600,0.000010
PHY_EDGE_ROW_12_Right_12,VGND,li1,55.8900,43.5200,0.000025
PHY_EDGE_ROW_11_Right_11,VGND,li1,55.8900,43.5200,0.000025
PHY_EDGE_ROW_10_Right_10,VGND,li1,55.8900,38.0800,0.000036
PHY_EDGE_ROW_9_Right_9,VGND,li1,55.8900,38.0800,0.000036
PHY_EDGE_ROW_8_Right_8,VGND,li1,55.8900,32.6400,0.000022
PHY_EDGE_ROW_7_Right_7,VGND,li1,55.8900,32.6400,0.000022
PHY_EDGE_ROW_6_Right_6,VGND,li1,55.8900,27.2000,0.000026
PHY_EDGE_ROW_5_Right_5,VGND,li1,55.8900,27.2000,0.000026
PHY_EDGE_ROW_4_Right_4,VGND,li1,55.8900,21.7600,0.000043
PHY_EDGE_ROW_3_Right_3,VGND,li1,55.8900,21.7600,0.000043
PHY_EDGE_ROW_2_Right_2,VGND,li1,55.8900,16.3200,0.000086
PHY_EDGE_ROW_1_Right_1,VGND,li1,55.8900,16.3200,0.000086
PHY_EDGE_ROW_0_Right_0,VGND,li1,55.8900,10.8800,0.000078
_129_,VGND,li1,10.8100,16.3200,0.000034
